iti_coeff,detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.15,0.14,13.0,36,500,188,16386560,3027.747466,0.072,1.1472816747383221e-05,
0.15,0.14,13.5,5,500,29,16386560,2847.619734,0.01,1.7697430089048585e-06,
0.15,0.14,14.0,3,500,16,16386560,2829.813894,0.006,9.764099359475082e-07,
0.15,0.15,13.0,34,500,173,16386560,3012.734773,0.068,1.0557432432432433e-05,
0.15,0.15,13.5,7,500,37,16386560,2850.284849,0.014,2.257947976878613e-06,
0.15,0.15,14.0,2,500,13,16386560,2819.167749,0.004,7.933330729573504e-07,
0.15,0.16,13.0,34,500,169,16386560,3000.422576,0.068,1.0313329948445555e-05,
0.15,0.16,13.5,9,500,45,16386560,2867.995835,0.018,2.7461529448523668e-06,
0.15,0.16,14.0,2,500,13,16386560,2826.479734,0.004,7.933330729573504e-07,
0.15,0.18,13.0,42,500,224,16386560,3050.03482,0.084,1.3669739103265114e-05,
0.15,0.18,13.5,10,500,54,16386560,2869.655971,0.02,3.29538353382284e-06,
0.15,0.18,14.0,3,500,15,16386560,2828.161984,0.006,9.15384314950789e-07,
0.15,0.18,14.5,1,500,8,16386560,2820.000743,0.002,4.882049679737541e-07,
